Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Administrative & Mgmt (Unrep),58804.222241379335,248536.12431034484,0.23660231447059596
Administrative Secretarial,28918.649873417715,101995.19810126584,0.28352952307329077
Administrative-DPW/PUC,41349.40406876792,156364.68157593108,0.2644420955680362
Administrative-Labor & Trades,39922.41188679246,160870.45089622648,0.2481649778712028
Agriculture & Horticulture,25407.737040592423,81391.64327207874,0.3121664094636667
Airport Operation,30895.424859531802,106146.68004013343,0.2910635061581806
Appraisal & Taxation,28457.443365384654,94371.49368589751,0.3015470271150028
"Budget, Admn & Stats Analysis",27664.142248636843,94125.4327186479,0.2939071986136653
"Clerical, Secretarial & Steno",21394.905197130283,66009.82104317442,0.32411700045568553
Community Development,28426.194115988703,95466.3494643575,0.2977614025830292
Computer Operatns & Repro Svcs,19948.000740157484,63598.61788976373,0.3136546265004312
Construction Inspection,32729.448992558664,118084.473205495,0.27716979298033245
Construction Project Mgmt,38222.228820512784,148138.71075213692,0.2580164808134826
Correction & Detention,31615.406078648062,133490.81279575865,0.23683581975802132
Dietary & Food,19300.787904642395,60295.2566875783,0.32010458143747544
Emergency Services,26030.663506493496,89426.41850649354,0.2910847145757417
Energy & Environment,32109.412889518524,111574.68400849847,0.28778403609077485
Fire Services,37971.03134466646,183171.8105789114,0.20729735227631185
Health & Sanitation Inspection,35697.34880930232,126631.14573023253,0.2819002276529175
Hospital Administration,26546.707421135685,85470.50934542589,0.31059493648093467
Housekeeping & Laundry,23787.827170574732,72612.2042942525,0.3276009508563785
Human Services,27247.24735076581,91186.14884572836,0.29880905922305784
Information Systems,33528.96357235317,121352.03229614293,0.27629503138876443
Journeyman Trade,32316.621001965505,119507.75848344238,0.2704144183780581
"Lab, Pharmacy & Med Techs",30173.305161290256,107865.57531817393,0.27973062835188395
Legal & Court,38844.13462101066,147086.0987859041,0.2640911339796393
Library,21287.24926884871,67205.88142159258,0.3167468206437261
Management,41017.2909706811,144772.49593504815,0.28332239978154006
Med Therapy & Auxiliary,25761.927705112965,85782.1004994055,0.300318219711716
Medical & Dental,34409.10374488654,144073.7227668279,0.23882983714230105
Museum & Cultural Affairs,20985.569884105975,67814.38102648997,0.3094560411295134
N,14255.25,54927.75,0.2595272881193932
Nursing,23636.206942191522,97748.06679148655,0.24180741080651363
Park & Zoo,17359.449541088576,53001.04350053361,0.32753033515111457
"Payroll, Billing & Accounting",25538.40989185386,83469.91548033741,0.30595945551028875
Personnel,22710.956947154467,76101.76693902435,0.2984287732156253
Police Services,30780.263826600058,150087.60797911984,0.20508198005848824
Port Operation,37853.06136363637,137631.01618181818,0.2750329279966253
Probation & Parole,29552.1090377113,112136.27096879057,0.2635374690311947
Professional Engineering,34039.28466829724,122992.34164170043,0.2767593836652042
Property Administration,32365.519602649005,115703.74695364237,0.2797274976377084
Protection & Apprehension,20818.58396324071,73317.72583923084,0.2839502142891222
Pub Relations & Spec Assts,23652.059352465047,78525.87420161886,0.3012008410340937
Public Health,32977.2513031161,116185.29922804535,0.2838332519021124
Public Safety Inspection,36216.16469823585,134517.90395543183,0.2692293266049916
Public Service Aide,5087.142129951564,14450.325272157346,0.3520434339117188
Purchasing & Storekeeping,26200.820535615672,86369.14561568179,0.30335857034179653
Recreation,5170.124187316245,16715.982449600968,0.30929227180659447
Revenue,24709.681113610783,79120.02879640048,0.3123062704792005
SF Redevelopment Agency,23332.552783505147,76358.32556701032,0.3055665850481364
SF Superior Court,29243.101466863744,96347.45906500603,0.303517101028407
Semi-Skilled & General Labor,22211.21098096957,71263.85183280484,0.31167570107044223
Skilled Labor,28665.70847278911,100816.74061904754,0.28433480686612506
Street Transit,30056.26810386605,98922.76094897072,0.30383571804441006
Sub-Professional Engineering,12261.080848431284,42442.90199734877,0.28888413071276753
Supervisory-Labor & Trade,36074.642645082466,137935.13559560175,0.2615333829869578
Y,37228.34,171787.59,0.2167114632669333
